,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
14,DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black,https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-dell-mpg752421.html,1013,I7,7,Intel,32,Jumia (EG)
15,MSI GL65 Leopard Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - English Keyboard,https://www.jumia.com.eg/gl65-leopard-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-english-keyboard-msi-mpg772159.html,1680,I7,7,Intel,30,Jumia (EG)
16,Lenovo Legion 5-17IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 256GB SSD - 17.3-inch FHD - 6GB GTX 1660 Ti GPU - Windows 10 - Phantom Black (English Keyboard),https://www.jumia.com.eg/lenovo-legion-5-17imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-256gb-ssd-17.3-inch-fhd-6gb-gtx-1660-ti-gpu-windows-10-phantom-black-english-keyboard-21284474.html,1200,I7,7,Intel,13,Jumia (EG)
17,Lenovo Legion 5 15ARH05H Gaming Laptop - AMD Ryzen 7 - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB 1660 Ti GPU - Windows - Phantom Black (English Keyboard),https://www.jumia.com.eg/lenovo-legion-5-15arh05h-gaming-laptop-amd-ryzen-7-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-1660-ti-gpu-windows-phantom-black-english-keyboard-21158867.html,1290,Ryzen 7,7,AMD,14,Jumia (EG)
18,Lenovo Ideapad 15IMH05 3 Gaming Laptop - Intel Core I5 - 8GB RAM - 1TB HDD + 128GB SSD - 15.6-inch FHD - 4GB GPU - DOS - Onyx Black,https://www.jumia.com.eg/lenovo-ideapad-15imh05-3-gaming-laptop-intel-core-i5-8gb-ram-1tb-hdd-128gb-ssd-15.6-inch-fhd-4gb-gpu-dos-onyx-black-21219409.html,840,I5,5,Intel,13,Jumia (EG)
20,Lenovo IdeaPad Gaming 3 15ARH05 Laptop - AMD Ryzen 5 - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - DOS - Chameleon Blue,https://www.jumia.com.eg/ideapad-gaming-3-15arh05-laptop-amd-ryzen-5-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-dos-chameleon-blue-lenovo-mpg770883.html,960,Ryzen 5,5,AMD,10,Jumia (EG)
21,DELL G5 15-5500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD – 6GB GTX 1660 Ti GPU - Windows 10 - Black,https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gtx-1660-ti-gpu-windows-10-black-dell-mpg769832.html,1230,I7,7,Intel,11,Jumia (EG)
22,Lenovo IdeaPad Gaming 3 15IMH05 Laptop - Intel Core I7 - 16GB RAM - 512GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - Windows 10 - Onyx Black (English Keyboard),https://www.jumia.com.eg/lenovo-ideapad-gaming-3-15imh05-laptop-intel-core-i7-16gb-ram-512gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-windows-10-onyx-black-english-keyboard-21219405.html,1050,I7,7,Intel,13,Jumia (EG)
23,MSI GF63 Thin Gaming Laptop - Intel Core I5 - 8GB RAM - 256GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black (English Keyboard),https://www.jumia.com.eg/msi-gf63-thin-gaming-laptop-intel-core-i5-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-english-keyboard-21166395.html,840,I5,5,Intel,18,Jumia (EG)
24,Lenovo Legion 5 15IMH05H Gaming Laptop - Intel Core I7 - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - DOS - Phantom Black,https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-dos-phantom-black-lenovo-mpg767932.html,1164,I7,7,Intel,8,Jumia (EG)
